order_id,sales_agent,product,account,order_date
1C1I7A6R,Moses Frase,GTX (Plus Basic),Cancity?ÄÖ,10/20/2022
Z063OYW0,     Darcel   Schlecht,GTX (Pro),Isdom?ÄÖ,10/25/2022
EC4QE1BX,     Darcel   Schlecht,MG (Special),Cancity?ÄÖ,10/25/2022
MV1LWRNH,Moses Frase,GTX (Basic),Codehow?ÄÖ,10/25/2022
PE84CX4O,Zane Levy,GTX (Basic),Hatfan?ÄÖ,10/25/2022
ZNBS69V1,Anna Snelling,MG (Special),Ron-tech?ÄÖ,10/29/2022
9ME3374G,     Vicki Laflamme   ,MG (Special),J-Texon?ÄÖ,10/30/2022
7GN8Q4LL,Markita Hansen,GTX (Basic),Cheers?ÄÖ,11/1/2022
OLK9LKZB,Niesha Huffines,GTX (Plus Basic),Zumgoity?ÄÖ,11/1/2022
HAXMC4IX,James Ascencio,MG (Advanced),Sunnamplex?ÄÖ,11/3/2022
NL3JZH1Z,Anna Snelling,MG (Special),Codehow?ÄÖ,11/4/2022
KWVA7VR1,Gladys Colclough,GTX (Pro),Isdom?ÄÖ,11/4/2022
S8DX3XOU,James Ascencio,GTX (Plus Pro),Cancity?ÄÖ,11/4/2022
ENB2XD8G,     Maureen    Marcano,GTX (Plus Pro),Cancity?ÄÖ,11/4/2022
09YE9QOV,Hayden Neloms,MG (Advanced),Sunnamplex?ÄÖ,11/5/2022
3F5MZNEH,Rosalina Dieter,MG (Special),Codehow?ÄÖ,11/5/2022
M6WEJXC0,Rosalina Dieter,MG (Advanced),Sunnamplex?ÄÖ,11/5/2022
6PTR7VBR,Versie Hillebrand,MG (Special),Codehow?ÄÖ,11/6/2022
902REDPA,Daniell Hammack,GTX (Pro),Isdom?ÄÖ,11/7/2022
5J9CMGDV,Elease Gluck,MG (Special),Cancity?ÄÖ,11/7/2022
JJXRR8R6,James Ascencio,GTX (Plus Pro),Sunnamplex?ÄÖ,11/7/2022
WF4HA5NW,Moses Frase,MG (Special),Cancity?ÄÖ,11/7/2022
C5K2JP1H,Violet Mclelland,GTX (Plus Basic),Cancity?ÄÖ,11/7/2022
ADRB8OMB,     Darcel   Schlecht,GTX (Basic),Cheers?ÄÖ,11/8/2022
SBCR987L,Kami Bicknell,GTX (Basic),Isdom?ÄÖ,11/10/2022
UP409DSB,     Maureen    Marcano,MG (Advanced),Cancity?ÄÖ,11/10/2022
JSD4APT2,Versie Hillebrand,MG (Special),Codehow?ÄÖ,11/10/2022
AO9Z2D17,Violet Mclelland,GTX (Plus Pro),Cancity?ÄÖ,11/10/2022
5M58DTJK,Elease Gluck,MG (Special),Codehow?ÄÖ,11/11/2022
KNY1OSAB,     Maureen    Marcano,GTX (Pro),Sunnamplex?ÄÖ,11/11/2022
EAZDUUM9,Rosie Papadopoulos,MG (Advanced),Cancity?ÄÖ,11/11/2022
